"Date","Close","Dividends"
"2014-12-31",27.59377098,0
"2015-01-30",25.7836895,0
"2015-02-27",29.49079514,0
"2015-03-31",29.88433266,0.3
"2015-04-30",27.93984795,0
"2015-05-29",28.66504669,0
"2015-06-30",26.83627701,0.36
"2015-07-31",25.37086868,0
"2015-08-31",23.70417404,0
"2015-09-30",24.46855736,0.36
"2015-10-30",28.45427895,0
"2015-11-30",29.50572014,0
"2015-12-31",28.01267433,0.36
"2016-01-29",24.41328239,0
"2016-02-29",24.24855232,0
"2016-03-31",26.21229935,0.38
"2016-04-29",26.52087212,0
"2016-05-31",26.08720207,0
"2016-06-30",23.90236855,0.38
"2016-07-29",26.63889885,0
"2016-08-31",26.9598465,0
"2016-09-30",27.1544075,0.38
"2016-10-31",27.00910568,0
"2016-11-30",29.51342964,0
"2016-12-30",30.1014328,0.38
"2017-01-31",31.63069344,0
"2017-02-28",31.82941437,0
"2017-03-31",30.86328125,0.38
"2017-04-28",30.23484421,0
"2017-05-31",29.61513329,0
"2017-06-30",30.82820892,0.38
"2017-07-31",31.7549057,0
"2017-08-31",32.24914932,0
"2017-09-29",36.00139618,0.38
"2017-10-31",38.31945801,0
"2017-11-30",38.41753769,0
"2017-12-29",36.87771225,0.38
