"","Date","Obs1","Obs2","Obs3","Obs4","Obs5","Obs6","Obs7","Obs8"
"1",1,6.905,3.676,36.132,25.386,10.082,11.903,3.471,12.727
"2",2,1.155,4.421,2.714,12.364,1.881,40.546,66.841,6.353
"3",3,23.243,11.339,10.081,4.105,28.779,2.376,13.646,15.021
"4",4,34.162,37.484,1.918,5.094,15.78,13.62,0.028,18.124
"5",5,1.412,3.266,32.367,5.234,24.197,5.345,13.656,0.163
"6",6,12.42,4.269,47.195,20.14,9.398,6.985,27.1,19.542
"7",7,19.296,4.009,60.584,2.097,9.522,52.54,17.605,55.359
"8",8,15.005,16.184,2.416,3.581,13.423,17.574,17.772,31.657
"9",9,17.386,12.333,18.284,10.896,28.308,36.499,10.42,6.581
"10",10,8.191,7.545,19.699,41.679,50.675,2.036,16.05,14.706
"11",11,23.711,48.14,73.958,6.217,3.443,12.135,57.179,34.987
"12",12,4.155,8.15,6.402,5.386,28.924,36.273,5.818,45.748
"13",13,7.55,12.077,21.181,41.92,11.871,57.899,42.617,74.059
"14",14,31.7,22.699,26.095,82.56,22.352,2.828,1.449,48.237
"15",15,18.107,30.063,5.673,12.24,31.871,1.774,3.834,4.736
"16",16,33.782,6.62,29.894,53.21,44.09,11.265,34.226,8.339
"17",17,6.435,30.75,5.669,8.326,8.956,2.336,28.383,7.576
"18",18,12.44,29.915,37.308,14.69,25.613,1.558,5.519,0.925
"19",19,5.679,1.107,34.166,9.064,11.076,51.938,0.555,49.493
"20",20,26.235,22.452,53.084,8.048,1.781,12.931,19.201,11.7
"21",21,9.54,58.583,4.456,89.397,91.646,9.044,35.331,31.452
"22",22,12.557,7.173,22.263,41.8,15.141,9.149,1.128,39.597
"23",23,21.897,33.509,0.028,31.828,35.63,15.093,16.014,30.464
"24",24,6.685,12.249,4.537,24.177,3.824,32.116,2.568,21.579
"25",25,2.49,44.99,17.978,21.338,16.299,4.625,5.859,15.564
"26",26,14.881,1.624,46.578,17.936,0.58,2.38,7.002,2.808
"27",27,12.032,30.022,20.533,35.113,10.508,2.012,1.249,6.658
"28",28,39.781,19.143,10.819,1.026,18.048,20.072,23.44,21.771
"29",29,8.314,7.128,28.55,38.189,8.027,35.261,0.895,26.234
"30",30,11.285,18.854,4.504,12.605,12.813,0.412,50.008,24.648
"31",31,33.142,10.286,42.899,38.791,66.385,31.089,13.425,24.067
"32",32,41.311,16.94,48.131,16.975,7.695,21.832,28.529,18.33
"33",33,12.043,34.876,16.527,25.842,10.551,24.842,25.201,20.935
"34",34,2.801,12.178,46.293,12.596,5.911,9.449,3.16,4.224
"35",35,33.792,26.535,3.584,54.341,24.68,31.997,10.969,31.019
"36",36,24.472,1.051,51.306,29.829,9.129,3.815,17.632,30.479
"37",37,15.496,63.949,4.347,3.083,9.468,3.951,20.341,9.025
"38",38,39.221,27.012,30.785,40.191,88.589,0.638,13.54,17.489
"39",39,6.259,15.895,24.091,18.62,24.631,10.644,1.355,31.324
"40",40,60.184,38.915,27.938,20.134,60.326,13.54,66.198,70.898
"41",41,27.408,19.072,12.503,13.11,36.632,15.907,15.963,83.38
"42",42,3.357,8.323,18.663,12.647,24.408,59.604,25.425,25.467
"43",43,21.117,23.911,0.407,10.265,5.401,62.369,4.368,42.071
"44",44,29.17,16.784,11.059,3.029,43.936,5.769,8.657,25.793
"45",45,77.49,22.503,12.65,16.217,24.632,27.392,39.679,15.122
"46",46,53.396,2.938,24.222,28.004,8.644,8.826,28.313,40.234
"47",47,9.91,19.306,8.239,27.803,22.153,14.374,34.589,10.865
"48",48,38.482,7.02,2.482,2.075,34.305,12.761,41.774,35.702
"49",49,19.308,5.583,37.463,50.7,0.076,22.534,0.869,31.576
"50",50,24.55,13.638,34.279,1.952,40.026,39.751,46.881,23.76
"51",51,63.903,55.463,17.595,30.315,21.553,59.389,9.884,35.131
"52",52,24.483,33.981,16.394,0.421,10.669,39.907,28.533,4.383
"53",53,11.345,9.897,19.035,63.889,5.779,21.647,23.245,40.896
"54",54,26.119,43.775,51.861,2.691,14.753,11.468,3.085,33.842
"55",55,17.351,7.888,3.012,14.335,11.475,35.448,0.641,9.623
"56",56,18.664,15.129,7.232,63.154,32.121,12.71,9.973,12.048
"57",57,33.064,2.078,27.492,37.983,68.871,4.022,24.666,59.018
"58",58,22.183,34.771,4.509,19.389,28.815,5.463,39.645,4.871
"59",59,6.386,45.941,1.011,0.133,41.287,22.203,45.008,35.765
